"","AQSID","Param","Site_code","site_name","status","AgencyID","Agency_name","EPA_reg","lat","long","elev","GMT_offset","country","MSA_code","MSA_name","state_code","state_name","county_code","county_name"
"10082","482010416","NOX","0416","Houston Park Place C416","Active","TX1","Texas Commission on Environmental Quality","R6",29.68639,-95.294724,9.2,-6,"US",26420," Houston-Sugar Land-Baytown, TX ","48","TX","201","HARRIS"
"10083","482010416","RWS","0416","Houston Park Place C416","Active","TX1","Texas Commission on Environmental Quality","R6",29.68639,-95.294724,9.2,-6,"US",26420," Houston-Sugar Land-Baytown, TX ","48","TX","201","HARRIS"
"10084","482010416","NO","0416","Houston Park Place C416","Active","TX1","Texas Commission on Environmental Quality","R6",29.68639,-95.294724,9.2,-6,"US",26420," Houston-Sugar Land-Baytown, TX ","48","TX","201","HARRIS"
"10085","482010416","PRECIP","0416","Houston Park Place C416","Active","TX1","Texas Commission on Environmental Quality","R6",29.68639,-95.294724,9.2,-6,"US",26420," Houston-Sugar Land-Baytown, TX ","48","TX","201","HARRIS"
"10086","470090102","SRAD","0102","Cades Cove - GSMNP","Active","NPS","National Park Service","USEPA",35.6031,-83.7836,564.3,-5,"US",28940," Knoxville, TN ","47","TN","009","BLOUNT"
"10087","470090102","PRECIP","0102","Cades Cove - GSMNP","Active","NPS","National Park Service","USEPA",35.6031,-83.7836,564.3,-5,"US",28940," Knoxville, TN ","47","TN","009","BLOUNT"
"10088","470090102","RWD","0102","Cades Cove - GSMNP","Active","NPS","National Park Service","USEPA",35.6031,-83.7836,564.3,-5,"US",28940," Knoxville, TN ","47","TN","009","BLOUNT"
"10089","470090102","RWS","0102","Cades Cove - GSMNP","Active","NPS","National Park Service","USEPA",35.6031,-83.7836,564.3,-5,"US",28940," Knoxville, TN ","47","TN","009","BLOUNT"
"10090","470090102","O3","0102","Cades Cove - GSMNP","Active","NPS","National Park Service","USEPA",35.6031,-83.7836,564.3,-5,"US",28940," Knoxville, TN ","47","TN","009","BLOUNT"
"10091","470090102","TEMP","0102","Cades Cove - GSMNP","Active","NPS","National Park Service","USEPA",35.6031,-83.7836,564.3,-5,"US",28940," Knoxville, TN ","47","TN","009","BLOUNT"
"10092","470090102","WS","0102","Cades Cove - GSMNP","Active","NPS","National Park Service","USEPA",35.6031,-83.7836,564.3,-5,"US",28940," Knoxville, TN ","47","TN","009","BLOUNT"
"10093","470090102","RHUM","0102","Cades Cove - GSMNP","Active","NPS","National Park Service","USEPA",35.6031,-83.7836,564.3,-5,"US",28940," Knoxville, TN ","47","TN","009","BLOUNT"
"10094","480430101","O3","0101","Big Bend  NP","Active","NPS","National Park Service","USEPA",29.3025,-103.178101,1052.3,-6,"US",NA,"","48","TX","043","BREWSTER"
"10095","480430101","PM2.5","0101","Big Bend  NP","Active","NPS","National Park Service","USEPA",29.3025,-103.178101,1052.3,-6,"US",NA,"","48","TX","043","BREWSTER"
"10096","480430101","TEMP","0101","Big Bend  NP","Active","NPS","National Park Service","USEPA",29.3025,-103.178101,1052.3,-6,"US",NA,"","48","TX","043","BREWSTER"
"10097","480430101","RWS","0101","Big Bend  NP","Active","NPS","National Park Service","USEPA",29.3025,-103.178101,1052.3,-6,"US",NA,"","48","TX","043","BREWSTER"
"10098","480430101","WS","0101","Big Bend  NP","Active","NPS","National Park Service","USEPA",29.3025,-103.178101,1052.3,-6,"US",NA,"","48","TX","043","BREWSTER"
"10099","480430101","WD","0101","Big Bend  NP","Active","NPS","National Park Service","USEPA",29.3025,-103.178101,1052.3,-6,"US",NA,"","48","TX","043","BREWSTER"
"10100","480430101","RHUM","0101","Big Bend  NP","Active","NPS","National Park Service","USEPA",29.3025,-103.178101,1052.3,-6,"US",NA,"","48","TX","043","BREWSTER"
"10101","480430101","SRAD","0101","Big Bend  NP","Active","NPS","National Park Service","USEPA",29.3025,-103.178101,1052.3,-6,"US",NA,"","48","TX","043","BREWSTER"
"10102","480430101","PRECIP","0101","Big Bend  NP","Active","NPS","National Park Service","USEPA",29.3025,-103.178101,1052.3,-6,"US",NA,"","48","TX","043","BREWSTER"
"10103","480430101","RWD","0101","Big Bend  NP","Active","NPS","National Park Service","USEPA",29.3025,-103.178101,1052.3,-6,"US",NA,"","48","TX","043","BREWSTER"
"10104","370990005","O3","0005","Barnet Knob Firetower Rd","Inactive","NC1","North Carolina DEQ - Division of Air Quality","R4",35.524399,-83.236099,1442.3,-5,"US",NA,"","37","NC","099","JACKSON"
"10105","490571003","O3","1003","Harrisville","Active","UT1","Utah Department of Environmental Quality","R8",41.302799,-111.988297,1339.6,-7,"US",36260," Ogden-Clearfield, UT ","49","UT","057","WEBER"
"10106","490571003","PM2.5","1003","Harrisville","Active","UT1","Utah Department of Environmental Quality","R8",41.302799,-111.988297,1339.6,-7,"US",36260," Ogden-Clearfield, UT ","49","UT","057","WEBER"
"10107","490571003","PM10","1003","Harrisville","Active","UT1","Utah Department of Environmental Quality","R8",41.302799,-111.988297,1339.6,-7,"US",36260," Ogden-Clearfield, UT ","49","UT","057","WEBER"
"10108","490571003","NO2","1003","Harrisville","Active","UT1","Utah Department of Environmental Quality","R8",41.302799,-111.988297,1339.6,-7,"US",36260," Ogden-Clearfield, UT ","49","UT","057","WEBER"
"10109","490571003","CO","1003","Harrisville","Active","UT1","Utah Department of Environmental Quality","R8",41.302799,-111.988297,1339.6,-7,"US",36260," Ogden-Clearfield, UT ","49","UT","057","WEBER"
"10110","490571003","NOX","1003","Harrisville","Active","UT1","Utah Department of Environmental Quality","R8",41.302799,-111.988297,1339.6,-7,"US",36260," Ogden-Clearfield, UT ","49","UT","057","WEBER"
"10111","490571003","SRAD","1003","Harrisville","Active","UT1","Utah Department of Environmental Quality","R8",41.302799,-111.988297,1339.6,-7,"US",36260," Ogden-Clearfield, UT ","49","UT","057","WEBER"
"10112","490571003","NO","1003","Harrisville","Active","UT1","Utah Department of Environmental Quality","R8",41.302799,-111.988297,1339.6,-7,"US",36260," Ogden-Clearfield, UT ","49","UT","057","WEBER"
"10113","490571003","TEMP","1003","Harrisville","Active","UT1","Utah Department of Environmental Quality","R8",41.302799,-111.988297,1339.6,-7,"US",36260," Ogden-Clearfield, UT ","49","UT","057","WEBER"
"10114","490571003","WS","1003","Harrisville","Active","UT1","Utah Department of Environmental Quality","R8",41.302799,-111.988297,1339.6,-7,"US",36260," Ogden-Clearfield, UT ","49","UT","057","WEBER"
"10115","490571003","WD","1003","Harrisville","Active","UT1","Utah Department of Environmental Quality","R8",41.302799,-111.988297,1339.6,-7,"US",36260," Ogden-Clearfield, UT ","49","UT","057","WEBER"
"10116","490571003","RHUM","1003","Harrisville","Active","UT1","Utah Department of Environmental Quality","R8",41.302799,-111.988297,1339.6,-7,"US",36260," Ogden-Clearfield, UT ","49","UT","057","WEBER"
"10117","490571003","BARPR","1003","Harrisville","Active","UT1","Utah Department of Environmental Quality","R8",41.302799,-111.988297,1339.6,-7,"US",36260," Ogden-Clearfield, UT ","49","UT","057","WEBER"
